timestamp,t,P_buy,P_sell,P_ch,P_dis,SOC_kWh,P_dg,P_pv,P_wt,shed,trigger,q50,q90,q95,load_actual,Pgrid_max_kW,Pess_max_kW,Ecap_kWh,SOC_min_kWh,SOC_max_kWh,SOC0_kWh,SOC_pct
2022-04-29 02:30:00,10,1006.2897758294617,0.0,0.0,606.0341241958633,3074.808363523612,0.0,0.0,797.5857325102581,0.0,0,1869.2938232421875,2804.642578125,3038.4667480468747,2092.7,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,31.165720187071628
2022-04-29 02:45:00,11,721.8201985277734,0.0,0.0,340.5329941611622,2915.325699261543,0.0,0.0,854.5468073110644,0.0,0,1978.6284790039065,2929.02880859375,3128.1809082031245,1916.9,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,28.57671589710297
2022-04-29 03:00:00,12,1206.5365874119364,0.0,0.0,448.26341258806383,2825.711753429658,0.0,0.0,600.0,0.0,0,2087.4786376953125,3097.69697265625,3294.11669921875,2254.8,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,27.121944049182762
2022-04-29 03:15:00,13,1939.722941753384,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,816.1770582466161,0.0,0,2158.803466796875,3184.393115234375,3325.7227539062496,2755.9,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 03:30:00,14,2025.8637576385227,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,700.2362423614774,0.0,0,2294.69775390625,3330.804638671875,3511.8229370117188,2726.1,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 03:45:00,15,1740.8071674029243,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,995.2928325970756,0.0,0,2474.7760009765625,3483.6594482421874,3696.8657958984377,2736.1,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 04:00:00,16,1982.746601589533,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,897.5533984104671,0.0,0,2633.867431640625,3636.412158203125,3827.892590332031,2880.3,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 04:15:00,17,2031.6715568416162,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,904.4284431583836,0.0,0,2835.5030517578125,3836.031323242188,4057.0147460937496,2936.1,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 04:30:00,18,2440.3640458751065,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,793.6359541248934,0.0,0,3067.5555419921875,4063.864331054688,4328.6962890625,3234.0,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 04:45:00,19,2599.2851498291893,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,867.4148501708103,0.0,0,3373.313720703125,4358.21552734375,4657.281103515625,3466.7,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 05:00:00,20,3201.632082174005,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,872.367917825995,0.0,0,3692.779541015625,4748.51181640625,5036.083081054687,4074.0,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 05:15:00,21,3438.6842933062626,0.0,0.0,0.0,2707.7476974854308,0.0,0.0,762.115706693738,0.0,0,4239.680419921875,5210.88046875,5559.5048828125,4200.8,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 05:30:00,22,3925.0233742578375,0.0,0.0,65.68754964670616,2707.7476974854308,0.0,0.0,745.2890760954559,0.0,0,4640.467041015625,5547.911279296875,5852.18662109375,4736.0,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,25.20694314099725
2022-04-29 05:45:00,23,3924.2580059364072,0.0,0.0,131.0670002383482,2690.4615002099818,0.0,0.0,787.3749938252444,0.0,0,4829.595458984375,5708.431591796875,6001.153833007813,4842.7,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,24.926323055356846
2022-04-29 06:00:00,24,3432.069270343055,0.0,0.0,688.2304506854924,2655.970184357785,0.0,0.0,733.4002789714522,0.0,0,4713.64111328125,5637.211767578125,6060.204638671875,4853.7,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,24.366399096717288
2022-04-29 06:15:00,25,3041.55092016039,0.0,0.0,712.1364022286862,2474.856907861603,0.0,209.2900135364578,734.6226640744661,0.0,0,4293.88330078125,5488.836279296876,5954.45263671875,4697.6,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,21.4262485042468
2022-04-29 06:30:00,26,2367.9891872465005,0.0,0.0,709.7982889657701,2287.4525914856326,0.0,417.683815104165,768.8287086835646,0.0,0,3682.446044921875,5154.164453125,5578.176123046875,4264.3,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,18.38397064100053
